"Ticker","Nome","Negócios","Última (R$)","Variação"
"BOBR4","Bombril","2.800","1,22","+0,00%"
"PATI3","Panatlântica","600","35,00","+0,00%"
"PLAS3","Plascar","500","2,72","+2,26%"
"PEAB3","Participações Aliança da Bahia","300","39,80","+0,03%"
"BMIN3","Banco Mercantil de Investimentos","300","21,49","+0,00%"
"BRKM6","Braskem","200","7,70","-1,28%"
"CGAS3","Comgás","100","126,00","-1,69%"
"MWET3","Wetzel","100","17,00","+6,25%"
"AVLL3","Alphaville","100","12,97","-0,23%"
"BAUH4","Excelsior","400","93,90","+0,00%"
"PEAB4","Participações Aliança da Bahia","300","39,70","+0,05%"
"BMIN4","Banco Mercantil de Investimentos","200","18,02","+1,12%"
"MRSA6B","MRS Logística","100","32,60","-10,68%"
"PATI4","Panatlântica","100","32,00","+0,00%"
"CALI3","Adolpho Lindenberg","100","24,96","+0,00%"
"AHEB3","São Paulo Turismo","100","23,38","-0,09%"
"BGIP3","Banese","100","52,43","-1,47%"
"CEED3","CEEE D","500","8,15","-16,75%"
"USIM6","Usiminas","100","9,79","+0,00%"
"CEDO3","Cedro Têxtil","500","9,00","-10,00%"
"HETA4","Hercules","500","5,30","+7,94%"
"EQPA5","Equatorial Energia Pará","300","16,40","+0,00%"
"CEGR3","Naturgy (CEG)","100","39,00","+0,00%"
"CRPG6","Tronox Pigmentos","100","15,01","-6,25%"
"PPLA11","PPLA","9","75,48","+0,00%"
"SNSY3","Sansuy","800","9,75","-5,98%"
"JOPA4","Josapar","300","18,01","+0,61%"
"UNIP5","Unipar","200","61,50","+0,00%"
"B1003","B1003","100","18,40","+0,00%"
"BRSR5","Banrisul","100","16,82","+0,00%"
